,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity,type,S
44,SPY260213C00690000,2026-01-09 20:58:13+00:00,690.0,14.62,14.34,14.54,2.2399998,18.093699,364.0,370.0,0.14688963470458982,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
45,SPY260213C00691000,2026-01-09 20:29:38+00:00,691.0,14.61,13.63,14.03,3.1099997,27.043476,104.0,72.0,0.1472863592529297,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
46,SPY260213C00692000,2026-01-09 21:12:18+00:00,692.0,13.07,13.0,13.25,1.7799997,15.766163,376.0,133.0,0.144265149230957,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
47,SPY260213C00693000,2026-01-09 20:29:46+00:00,693.0,13.25,12.3,12.67,2.5500002,23.831778,203.0,110.0,0.14350221740722657,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
48,SPY260213C00694000,2026-01-09 21:13:23+00:00,694.0,11.78,11.76,11.82,1.6799994,16.633657,642.0,338.0,0.13935186828613283,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
49,SPY260213C00695000,2026-01-09 21:09:27+00:00,695.0,11.21,11.14,11.18,1.6700001,17.505241,1204.0,315.0,0.1375513491821289,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
50,SPY260213C00696000,2026-01-09 21:07:51+00:00,696.0,10.65,10.52,10.56,2.0299997,23.549881,70.0,54.0,0.13584238189697267,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
51,SPY260213C00697000,2026-01-09 20:43:55+00:00,697.0,10.47,9.93,9.97,1.6900005,19.248299,340.0,181.0,0.13431651824951174,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
52,SPY260213C00698000,2026-01-09 21:11:10+00:00,698.0,9.37,9.35,9.39,1.56,19.974392,45.0,65.0,0.13272962005615235,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
53,SPY260213C00699000,2026-01-09 21:09:51+00:00,699.0,8.86,8.79,8.83,1.4199996,19.086018,178.0,200.0,0.1311884977722168,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
54,SPY260213C00700000,2026-01-09 20:46:12+00:00,700.0,8.76,8.25,8.29,1.8000002,25.86207,542.0,337.0,0.12970841003417968,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
55,SPY260213C00701000,2026-01-09 20:59:59+00:00,701.0,7.82,7.73,7.77,1.46,22.955975,247.0,92.0,0.128289356842041,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
56,SPY260213C00702000,2026-01-09 19:57:50+00:00,702.0,7.87,7.24,7.27,2.02,34.529915,45.0,48.0,0.12690082092285154,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
57,SPY260213C00703000,2026-01-09 20:59:23+00:00,703.0,6.97,6.76,6.79,1.4099998,25.35971,126.0,316.0,0.12557331954956058,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
58,SPY260213C00704000,2026-01-09 20:52:57+00:00,704.0,6.63,6.3,6.33,1.3699999,26.045624,159.0,233.0,0.12427633544921876,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
59,SPY260213C00705000,2026-01-09 21:00:42+00:00,705.0,5.92,5.86,5.9,1.06,21.8107,589.0,828.0,0.12314719635009766,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
60,SPY260213C00706000,2026-01-09 20:49:06+00:00,706.0,5.85,5.45,5.48,1.3399997,29.711744,481.0,170.0,0.12194176406860352,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
61,SPY260213C00707000,2026-01-09 19:55:22+00:00,707.0,5.56,5.05,5.09,1.4200001,34.29952,269.0,125.0,0.1209041767883301,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
62,SPY260213C00708000,2026-01-09 20:23:45+00:00,708.0,5.02,4.68,4.71,1.22,32.105263,80.0,408.0,0.11977503768920897,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
63,SPY260213C00709000,2026-01-09 21:06:20+00:00,709.0,4.39,4.33,4.36,0.77,21.270718,233.0,736.0,0.1188442608642578,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
64,SPY260213C00710000,2026-01-09 20:48:33+00:00,710.0,4.31,4.0,4.03,1.04,31.804281,347.0,884.0,0.11792874267578124,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
65,SPY260213C00711000,2026-01-09 16:54:48+00:00,711.0,4.08,3.68,3.71,0.97,31.189713,7.0,95.0,0.11695218994140624,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
66,SPY260213C00712000,2026-01-09 21:12:18+00:00,712.0,3.42,3.38,3.42,0.6400001,23.021585,222.0,200.0,0.11618925811767578,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
67,SPY260213C00713000,2026-01-09 21:10:26+00:00,713.0,3.14,3.11,3.13,0.6200001,24.60318,105.0,456.0,0.11518218811035157,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
68,SPY260213C00714000,2026-01-09 20:00:21+00:00,714.0,3.08,2.85,2.88,0.76,32.75862,219.0,540.0,0.11454132537841799,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
69,SPY260213C00715000,2026-01-09 21:08:31+00:00,715.0,2.65,2.61,2.63,0.52,24.413143,184.0,415.0,0.11368684173583984,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
70,SPY260213C00716000,2026-01-09 21:09:21+00:00,716.0,2.41,2.38,2.41,0.35000014,16.990297,56.0,114.0,0.11307649627685548,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
